City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
89,Tramore,IE,52.16,-7.15,32.0,89,0,7.0,clear sky,0.0,0.0
90,Praia,CV,14.92,-23.51,71.6,83,20,10.29,few clouds,0.0,0.0
91,Monclova,MX,26.9,-101.42,51.01,50,0,4.29,clear sky,0.0,0.0
92,Khandyga,RU,62.67,135.6,-47.58,76,53,1.36,broken clouds,0.0,0.0
93,Tasiilaq,GL,65.61,-37.64,30.2,86,100,32.21,snow,0.0,1.91
94,Zeya,RU,53.75,127.27,-17.18,76,41,1.79,scattered clouds,0.0,0.0
95,Yellowknife,CA,62.46,-114.35,-20.2,75,90,11.41,overcast clouds,0.0,0.0
96,Trairi,BR,-3.28,-39.27,80.47,78,46,11.63,scattered clouds,0.0,0.0
97,Severo-Kurilsk,RU,50.68,156.12,25.68,91,100,32.41,overcast clouds,0.0,0.0
98,Cabo San Lucas,MX,22.89,-109.91,64.4,59,40,4.7,scattered clouds,0.0,0.0
99,Nyaunglebin,MM,17.95,96.73,70.81,78,49,5.61,scattered clouds,0.0,0.0
100,Siddharthanagar,NP,27.5,83.45,55.44,69,100,1.48,overcast clouds,0.0,0.0
101,Aluksne,LV,57.42,27.05,23.9,99,54,5.44,broken clouds,0.0,0.0
102,Itarema,BR,-2.92,-39.92,79.88,81,1,15.1,clear sky,0.0,0.0
103,Geraldton,AU,-28.77,114.6,93.2,24,0,17.22,clear sky,0.0,0.0
104,Sao Jose Do Belmonte,BR,-7.86,-38.76,79.99,54,85,8.95,overcast clouds,0.0,0.0
105,Samarai,PG,-10.62,150.67,85.98,72,83,13.4,broken clouds,0.0,0.0
106,Sesheke,ZM,-17.48,24.3,67.57,94,100,6.35,light rain,0.12,0.0
107,Solnechnyy,RU,50.72,136.63,-10.88,80,1,2.64,clear sky,0.0,0.0
108,Hobyo,SO,5.35,48.53,75.63,74,76,17.29,broken clouds,0.0,0.0
109,Jining,CN,35.41,116.58,35.01,80,100,2.46,overcast clouds,0.0,0.0
110,Amga,RU,60.9,131.96,-29.65,83,100,1.41,overcast clouds,0.0,0.0
111,Rundu,NA,-17.93,19.77,67.21,88,100,2.08,overcast clouds,0.0,0.0
112,Hobart,AU,-42.88,147.33,73.0,63,75,10.29,moderate rain,3.06,0.0
113,Terme,TR,41.21,36.97,35.6,93,0,2.24,mist,0.0,0.0
114,Soloneshnoye,RU,51.65,84.32,-17.63,82,3,2.39,clear sky,0.0,0.0
115,Bambous Virieux,MU,-20.34,57.76,75.2,78,75,14.99,shower rain,0.15,0.0
116,Nikolskoye,RU,59.7,30.79,32.0,97,90,4.47,light shower snow,0.0,0.0
117,Adrar,MR,20.5,-10.07,58.53,34,0,8.28,clear sky,0.0,0.0
118,Flinders,AU,-34.58,150.86,75.99,86,94,4.0,moderate rain,1.54,0.0
119,Avarua,CK,-21.21,-159.78,84.2,74,37,17.22,scattered clouds,0.0,0.0
120,Primorsko,BG,42.27,27.77,48.2,100,75,6.93,broken clouds,0.0,0.0
121,Baena,ES,37.62,-4.32,33.01,84,0,1.74,clear sky,0.0,0.0
122,Saint-Philippe,RE,-21.36,55.77,75.2,73,20,18.34,few clouds,0.0,0.0
123,Tuatapere,NZ,-46.13,167.68,53.01,97,100,5.99,light rain,0.56,0.0
124,Kruisfontein,ZA,-34.0,24.73,59.0,93,0,1.01,clear sky,0.0,0.0
125,Mahebourg,MU,-20.41,57.7,75.2,78,75,14.99,shower rain,0.14,0.0
126,Kibala,TD,9.11,18.35,68.0,77,0,3.56,clear sky,0.0,0.0
127,Sinnamary,GF,5.38,-52.95,77.2,89,100,12.24,overcast clouds,0.0,0.0
128,Kundla,IN,21.33,71.3,56.68,35,21,8.66,few clouds,0.0,0.0
129,Lebu,CL,-37.62,-73.65,58.15,93,5,14.0,clear sky,0.0,0.0
130,Fairbanks,US,64.84,-147.72,-6.0,76,40,2.55,scattered clouds,0.0,0.0
131,Lagoa,PT,39.05,-27.98,60.93,84,100,35.23,light rain,0.63,0.0
132,Luwuk,ID,-0.95,122.79,87.69,59,90,1.32,overcast clouds,0.0,0.0
133,New Norfolk,AU,-42.78,147.06,73.0,46,92,1.99,heavy intensity rain,5.99,0.0
134,Yumen,CN,40.28,97.2,12.24,83,100,8.79,overcast clouds,0.0,0.0
135,Saint George,US,37.1,-113.58,42.8,38,1,3.36,clear sky,0.0,0.0
136,Jalu,LY,29.03,21.55,53.26,57,0,11.52,clear sky,0.0,0.0
